A,B,haversine_dist,distance,duration,route
KJ12,MR9,436.0,643.6,463.4,"[(3.15696, 101.70193), (3.15702, 101.70195), (3.15707, 101.70185), (3.15687, 101.70176), (3.1569, 101.7017), (3.157, 101.70175), (3.15719, 101.70154), (3.15723, 101.70146), (3.15731, 101.7013), (3.15733, 101.70126), (3.15738, 101.70116), (3.15758, 101.70123), (3.15768, 101.70126), (3.15818, 101.70142), (3.15853, 101.70152), (3.15862, 101.7015), (3.15864, 101.70152), (3.15866, 101.70154), (3.15874, 101.70156), (3.15886, 101.7016), (3.1589, 101.70162), (3.15895, 101.70163), (3.15896, 101.70162), (3.15903, 101.70158), (3.15901, 101.7015), (3.15901, 101.70136), (3.15914, 101.7009), (3.15924, 101.7005), (3.15934, 101.69945), (3.15935, 101.69932), (3.15932, 101.69929), (3.15936, 101.69888)]"
KG18A,MR5,441.0,643.6,463.4,"[(3.14649, 101.71096), (3.14652, 101.711), (3.14653, 101.71115), (3.14638, 101.71116), (3.14637, 101.71109), (3.14597, 101.71058), (3.14583, 101.71041), (3.14572, 101.71027), (3.14552, 101.71043), (3.14545, 101.71044), (3.14538, 101.71041), (3.1451, 101.71003), (3.14514, 101.71), (3.1451, 101.70995), (3.14506, 101.70986), (3.14492, 101.70966), (3.14475, 101.70943), (3.14442, 101.70967), (3.14438, 101.70962), (3.14429, 101.7095), (3.14426, 101.70946), (3.14414, 101.7093), (3.14373, 101.7096), (3.14364, 101.70949), (3.14361, 101.70944), (3.14311, 101.70975), (3.14309, 101.70972), (3.14299, 101.70951), (3.14297, 101.70944), (3.14286, 101.70948), (3.14285, 101.70943), (3.14283, 101.70944)]"
KG17,MR4,471.0,607.5,437.4,"[(3.14208, 101.70219), (3.14213, 101.70222), (3.14223, 101.70228), (3.14226, 101.7023), (3.14209, 101.7026), (3.14188, 101.70297), (3.14173, 101.70323), (3.14128, 101.70402), (3.14091, 101.70455), (3.14094, 101.70463), (3.14051, 101.70518), (3.14041, 101.70521), (3.14028, 101.70539), (3.14022, 101.70535), (3.14013, 101.70531), (3.14002, 101.70525), (3.1401, 101.70544), (3.1401, 101.70551), (3.14001, 101.70572), (3.14003, 101.70575), (3.14009, 101.70568), (3.14038, 101.7059), (3.14051, 101.70601), (3.14052, 101.70602)]"
KG17,MR3,473.0,923.9,665.2,"[(3.14208, 101.70219), (3.14213, 101.70222), (3.14223, 101.70228), (3.14226, 101.7023), (3.14228, 101.70227), (3.14236, 101.70214), (3.14238, 101.7021), (3.14241, 101.70204), (3.14249, 101.702), (3.14256, 101.70181), (3.14259, 101.70162), (3.14269, 101.70147), (3.14275, 101.70134), (3.14278, 101.70117), (3.14282, 101.70086), (3.14269, 101.70085), (3.1427, 101.70077), (3.14271, 101.70033), (3.14269, 101.70019), (3.14239, 101.6999), (3.14233, 101.69985), (3.14189, 101.69943), (3.14179, 101.69938), (3.14175, 101.69939), (3.14174, 101.6994), (3.14154, 101.69952), (3.14116, 101.69976), (3.14108, 101.69984), (3.14098, 101.69988), (3.14088, 101.6999), (3.1407, 101.69988), (3.14027, 101.69973), (3.14015, 101.6996), (3.14011, 101.69951), (3.14004, 101.69928), (3.14003, 101.69921), (3.1398, 101.69849), (3.13979, 101.69845), (3.13977, 101.69843), (3.13962, 101.6984), (3.13957, 101.69842), (3.13951, 101.69845), (3.13946, 101.6985), (3.13931, 101.69867), (3.13902, 101.69898), (3.13876, 101.69929)]"
SP9,KG17,488.0,554.2,399.0,"[(3.13992, 101.70591), (3.14003, 101.70575), (3.14001, 101.70572), (3.1401, 101.70551), (3.1401, 101.70544), (3.14002, 101.70525), (3.14013, 101.70531), (3.14022, 101.70535), (3.14028, 101.70539), (3.14041, 101.70521), (3.14051, 101.70518), (3.14094, 101.70463), (3.14091, 101.70455), (3.14128, 101.70402), (3.14173, 101.70323), (3.14188, 101.70297), (3.14209, 101.7026), (3.14226, 101.7023), (3.14223, 101.70228), (3.14213, 101.70222), (3.14208, 101.70219)]"
AG9,KG17,488.0,554.2,399.0,"[(3.13992, 101.70591), (3.14003, 101.70575), (3.14001, 101.70572), (3.1401, 101.70551), (3.1401, 101.70544), (3.14002, 101.70525), (3.14013, 101.70531), (3.14022, 101.70535), (3.14028, 101.70539), (3.14041, 101.70521), (3.14051, 101.70518), (3.14094, 101.70463), (3.14091, 101.70455), (3.14128, 101.70402), (3.14173, 101.70323), (3.14188, 101.70297), (3.14209, 101.7026), (3.14226, 101.7023), (3.14223, 101.70228), (3.14213, 101.70222), (3.14208, 101.70219)]"
KG18A,MR7,490.0,589.1,424.2,"[(3.14649, 101.71096), (3.14652, 101.711), (3.14663, 101.71112), (3.14674, 101.71109), (3.1468, 101.71117), (3.14686, 101.71124), (3.14687, 101.71126), (3.14689, 101.71128), (3.14692, 101.71127), (3.14695, 101.7113), (3.14697, 101.71131), (3.14701, 101.71134), (3.14703, 101.71136), (3.14707, 101.7113), (3.14712, 101.71126), (3.1472, 101.71123), (3.14752, 101.71113), (3.14762, 101.71116), (3.14767, 101.71115), (3.14778, 101.71111), (3.14808, 101.71109), (3.1484, 101.7111), (3.14893, 101.71118), (3.1492, 101.71119), (3.14936, 101.71118), (3.14948, 101.71121), (3.14967, 101.71115), (3.14983, 101.71114), (3.14995, 101.71117), (3.15005, 101.71123), (3.15009, 101.7112), (3.15011, 101.71116), (3.15006, 101.71099), (3.15004, 101.71093), (3.15015, 101.7109), (3.15027, 101.71087), (3.15028, 101.71082), (3.15025, 101.71074), (3.1504, 101.71065), (3.15066, 101.71053), (3.15071, 101.71052), (3.15081, 101.71047), (3.15088, 101.71045)]"
AG2,PY17,491.0,876.4,631.0,"[(3.17851, 101.69562), (3.17836, 101.69567), (3.17825, 101.6957), (3.17824, 101.69569), (3.17824, 101.69568), (3.17824, 101.69567), (3.17822, 101.69561), (3.17821, 101.69558), (3.17815, 101.69556), (3.17812, 101.69556), (3.17807, 101.69555), (3.17784, 101.69546), (3.17781, 101.69544), (3.17783, 101.69531), (3.17782, 101.69525), (3.17779, 101.6952), (3.17774, 101.69513), (3.17761, 101.69511), (3.1775, 101.69434), (3.17748, 101.69435), (3.17689, 101.69442), (3.17653, 101.69445), (3.17647, 101.69448), (3.17626, 101.69443), (3.17601, 101.69431), (3.17593, 101.69413), (3.17575, 101.69413), (3.17578, 101.69418), (3.17563, 101.69471), (3.17537, 101.69463), (3.17527, 101.69463), (3.17516, 101.69466), (3.17414, 101.69515), (3.17404, 101.69524), (3.17407, 101.69531), (3.17445, 101.69524), (3.17455, 101.69555), (3.17458, 101.69564), (3.17454, 101.69566), (3.17454, 101.69575), (3.1742, 101.69586), (3.17419, 101.69582), (3.17409, 101.69585)]"
SP2,PY17,491.0,876.4,631.0,"[(3.17851, 101.69562), (3.17836, 101.69567), (3.17825, 101.6957), (3.17824, 101.69569), (3.17824, 101.69568), (3.17824, 101.69567), (3.17822, 101.69561), (3.17821, 101.69558), (3.17815, 101.69556), (3.17812, 101.69556), (3.17807, 101.69555), (3.17784, 101.69546), (3.17781, 101.69544), (3.17783, 101.69531), (3.17782, 101.69525), (3.17779, 101.6952), (3.17774, 101.69513), (3.17761, 101.69511), (3.1775, 101.69434), (3.17748, 101.69435), (3.17689, 101.69442), (3.17653, 101.69445), (3.17647, 101.69448), (3.17626, 101.69443), (3.17601, 101.69431), (3.17593, 101.69413), (3.17575, 101.69413), (3.17578, 101.69418), (3.17563, 101.69471), (3.17537, 101.69463), (3.17527, 101.69463), (3.17516, 101.69466), (3.17414, 101.69515), (3.17404, 101.69524), (3.17407, 101.69531), (3.17445, 101.69524), (3.17455, 101.69555), (3.17458, 101.69564), (3.17454, 101.69566), (3.17454, 101.69575), (3.1742, 101.69586), (3.17419, 101.69582), (3.17409, 101.69585)]"
AG9,MR5,496.0,681.0,490.3,"[(3.13992, 101.70591), (3.14003, 101.70575), (3.14009, 101.70568), (3.14038, 101.7059), (3.14051, 101.70601), (3.14066, 101.70619), (3.14082, 101.70641), (3.14085, 101.70644), (3.1409, 101.7065), (3.14094, 101.70656), (3.14098, 101.70662), (3.14119, 101.70691), (3.14154, 101.70739), (3.14176, 101.7077), (3.14187, 101.70792), (3.14187, 101.70798), (3.14193, 101.70803), (3.14199, 101.70808), (3.14206, 101.70811), (3.14222, 101.70835), (3.14213, 101.70847), (3.14211, 101.7085), (3.14217, 101.70853), (3.1424, 101.70878), (3.14253, 101.70895), (3.14262, 101.70919), (3.14279, 101.70983), (3.14272, 101.70985), (3.14263, 101.70957), (3.14263, 101.70955), (3.14272, 101.70952), (3.14271, 101.70947), (3.14283, 101.70944)]"
SP9,MR5,496.0,681.0,490.3,"[(3.13992, 101.70591), (3.14003, 101.70575), (3.14009, 101.70568), (3.14038, 101.7059), (3.14051, 101.70601), (3.14066, 101.70619), (3.14082, 101.70641), (3.14085, 101.70644), (3.1409, 101.7065), (3.14094, 101.70656), (3.14098, 101.70662), (3.14119, 101.70691), (3.14154, 101.70739), (3.14176, 101.7077), (3.14187, 101.70792), (3.14187, 101.70798), (3.14193, 101.70803), (3.14199, 101.70808), (3.14206, 101.70811), (3.14222, 101.70835), (3.14213, 101.70847), (3.14211, 101.7085), (3.14217, 101.70853), (3.1424, 101.70878), (3.14253, 101.70895), (3.14262, 101.70919), (3.14279, 101.70983), (3.14272, 101.70985), (3.14263, 101.70957), (3.14263, 101.70955), (3.14272, 101.70952), (3.14271, 101.70947), (3.14283, 101.70944)]"
KG15,MR1,499.0,1000.4,720.3,"[(3.13732, 101.68734), (3.1373, 101.68737), (3.13715, 101.68629), (3.13716, 101.68609), (3.13711, 101.6861), (3.13708, 101.68611), (3.13701, 101.68614), (3.13685, 101.68588), (3.13676, 101.68578), (3.13671, 101.6857), (3.13633, 101.68589), (3.13619, 101.68599), (3.1361, 101.68618), (3.13613, 101.6862), (3.13614, 101.68621), (3.13613, 101.68631), (3.13616, 101.68646), (3.13622, 101.68678), (3.13614, 101.68679), (3.13608, 101.68682), (3.1361, 101.68694), (3.13578, 101.68699), (3.13563, 101.68698), (3.13559, 101.687), (3.1355, 101.68704), (3.13533, 101.6868), (3.13532, 101.68679), (3.13526, 101.68682), (3.13524, 101.68687), (3.13519, 101.68697), (3.1352, 101.68709), (3.13493, 101.68708), (3.1348, 101.68715), (3.13414, 101.68751), (3.13432, 101.68781), (3.13434, 101.68789), (3.13428, 101.68821), (3.13424, 101.68829), (3.13398, 101.6886), (3.13393, 101.68856), (3.13383, 101.68846), (3.13375, 101.68838), (3.13366, 101.68847), (3.13358, 101.68854), (3.13296, 101.68787), (3.13291, 101.68785), (3.1329, 101.68784), (3.13286, 101.68781)]"
